,Date-Monthly,Nakuru
0,Jan-06,
1,Feb-06,
2,Mar-06,
3,Apr-06,
4,May-06,
5,Jun-06,
6,Jul-06,
7,Aug-06,
8,Sep-06,
9,Oct-06,
10,Nov-06,
11,Dec-06,
12,Jan-07,
13,Feb-07,
14,Mar-07,
15,Apr-07,
16,May-07,
17,Jun-07,
18,Jul-07,
19,Aug-07,
20,Sep-07,
21,Oct-07,
22,Nov-07,
23,Dec-07,
24,Jan-08,0.63
25,Feb-08,0.62
26,Mar-08,0.71
27,Apr-08,0.93
28,May-08,0.95
29,Jun-08,0.88
30,Jul-08,0.74
31,Aug-08,0.68
32,Sep-08,0.71
33,Oct-08,0.7
34,Nov-08,0.68
35,Dec-08,0.67
36,Jan-09,0.63
37,Feb-09,0.65
38,Mar-09,0.56
39,Apr-09,0.67
40,May-09,0.63
41,Jun-09,0.6
42,Jul-09,0.56
43,Aug-09,0.61
44,Sep-09,0.72
45,Oct-09,0.72
46,Nov-09,0.78
47,Dec-09,0.73
48,Jan-10,0.68
49,Feb-10,0.64
50,Mar-10,0.63
51,Apr-10,0.64
52,May-10,0.65
53,Jun-10,0.59
54,Jul-10,0.51
55,Aug-10,0.48
56,Sep-10,0.45999999999999996
57,Oct-10,0.44
58,Nov-10,0.42
59,Dec-10,0.59
60,Jan-11,0.6
61,Feb-11,0.6
62,Mar-11,0.63
63,Apr-11,0.68
64,May-11,0.74
65,Jun-11,0.82
66,Jul-11,0.81
67,Aug-11,0.57
68,Sep-11,0.59
69,Oct-11,0.55
70,Nov-11,0.55
71,Dec-11,0.62
72,Jan-12,0.67
73,Feb-12,0.69
74,Mar-12,0.69
75,Apr-12,0.76
76,May-12,0.84
77,Jun-12,0.76
78,Jul-12,0.74
79,Aug-12,0.73
80,Sep-12,0.61
81,Oct-12,0.67
82,Nov-12,0.76
83,Dec-12,0.76
84,Jan-13,0.76
85,Feb-13,0.77
86,Mar-13,0.81
87,Apr-13,0.83
88,May-13,0.84
89,Jun-13,0.7749999999999999
90,Jul-13,0.71
91,Aug-13,0.67
92,Sep-13,0.79
93,Oct-13,0.79
94,Nov-13,0.74
95,Dec-13,0.74
96,Jan-14,0.74
97,Feb-14,0.75
98,Mar-14,0.76
99,Apr-14,0.84
100,May-14,0.83
101,Jun-14,0.72
102,Jul-14,0.73
103,Aug-14,0.74
104,Sep-14,0.75
105,Oct-14,0.67
106,Nov-14,0.63
107,Dec-14,0.59
108,Jan-15,0.61
109,Feb-15,0.6
110,Mar-15,0.64
111,Apr-15,0.69
112,May-15,0.68
113,Jun-15,0.65
114,Jul-15,0.56
115,Aug-15,0.48
116,Sep-15,0.56
117,Oct-15,0.552
118,Nov-15,0.544
119,Dec-15,0.536
120,Jan-16,0.528
121,Feb-16,0.52
122,Mar-16,0.59
123,Apr-16,0.55
124,May-16,0.51
125,Jun-16,0.51
126,Jul-16,0.5
127,Aug-16,0.45
128,Sep-16,0.46
129,Oct-16,0.46
130,Nov-16,0.5
131,Dec-16,0.58
132,Jan-17,0.57
133,Feb-17,0.62
134,Mar-17,0.65
135,Apr-17,0.68
136,May-17,0.62
137,Jun-17,0.6
138,Jul-17,0.6
139,Aug-17,0.6
140,Sep-17,0.6
141,Oct-17,0.6
142,Nov-17,0.59
143,Dec-17,0.64
144,Jan-18,0.66
145,Feb-18,0.49
146,Mar-18,0.495
147,Apr-18,0.5
148,May-18,0.54
149,Jun-18,0.52
150,Jul-18,0.48
151,Aug-18,0.45
152,Sep-18,0.45
153,Oct-18,0.52
154,Nov-18,0.49
155,Dec-18,0.49
156,Jan-19,0.52
157,Feb-19,0.5566666666666666
158,Mar-19,0.5933333333333334
159,Apr-19,0.63
160,May-19,0.54
161,Jun-19,0.66
162,Jul-19,0.78
163,Aug-19,0.63
164,Sep-19,0.56
