,Date-Monthly,Ruhengeri
0,Jan-00,
1,Feb-00,
2,Mar-00,
3,Apr-00,
4,May-00,
5,Jun-00,
6,Jul-00,
7,Aug-00,
8,Sep-00,
9,Oct-00,
10,Nov-00,
11,Dec-00,
12,Jan-01,
13,Feb-01,
14,Mar-01,
15,Apr-01,
16,May-01,
17,Jun-01,
18,Jul-01,
19,Aug-01,
20,Sep-01,
21,Oct-01,
22,Nov-01,
23,Dec-01,
24,Jan-02,
25,Feb-02,
26,Mar-02,
27,Apr-02,
28,May-02,
29,Jun-02,
30,Jul-02,
31,Aug-02,
32,Sep-02,
33,Oct-02,
34,Nov-02,
35,Dec-02,
36,Jan-03,
37,Feb-03,
38,Mar-03,
39,Apr-03,
40,May-03,
41,Jun-03,
42,Jul-03,
43,Aug-03,
44,Sep-03,
45,Oct-03,
46,Nov-03,
47,Dec-03,
48,Jan-04,
49,Feb-04,
50,Mar-04,
51,Apr-04,
52,May-04,
53,Jun-04,
54,Jul-04,
55,Aug-04,
56,Sep-04,
57,Oct-04,
58,Nov-04,
59,Dec-04,
60,Jan-05,
61,Feb-05,
62,Mar-05,
63,Apr-05,
64,May-05,
65,Jun-05,
66,Jul-05,
67,Aug-05,
68,Sep-05,
69,Oct-05,
70,Nov-05,
71,Dec-05,
72,Jan-06,
73,Feb-06,
74,Mar-06,
75,Apr-06,
76,May-06,
77,Jun-06,
78,Jul-06,
79,Aug-06,
80,Sep-06,
81,Oct-06,
82,Nov-06,
83,Dec-06,
84,Jan-07,
85,Feb-07,
86,Mar-07,
87,Apr-07,
88,May-07,
89,Jun-07,
90,Jul-07,
91,Aug-07,
92,Sep-07,
93,Oct-07,
94,Nov-07,
95,Dec-07,
96,Jan-08,
97,Feb-08,
98,Mar-08,
99,Apr-08,
100,May-08,
101,Jun-08,
102,Jul-08,
103,Aug-08,
104,Sep-08,
105,Oct-08,
106,Nov-08,
107,Dec-08,
108,Jan-09,
109,Feb-09,
110,Mar-09,
111,Apr-09,
112,May-09,
113,Jun-09,
114,Jul-09,
115,Aug-09,
116,Sep-09,
117,Oct-09,
118,Nov-09,
119,Dec-09,
120,Jan-10,
121,Feb-10,
122,Mar-10,0.42
123,Apr-10,0.37
124,May-10,0.44
125,Jun-10,0.46
126,Jul-10,0.42
127,Aug-10,0.42
128,Sep-10,0.46
129,Oct-10,0.59
130,Nov-10,0.57
131,Dec-10,0.57
132,Jan-11,0.47
133,Feb-11,0.435
134,Mar-11,0.4
135,Apr-11,0.44
136,May-11,0.53
137,Jun-11,0.63
138,Jul-11,0.63
139,Aug-11,0.63
140,Sep-11,0.61
141,Oct-11,0.6
142,Nov-11,0.55
143,Dec-11,0.53
144,Jan-12,0.5
145,Feb-12,0.45
146,Mar-12,0.5
147,Apr-12,0.52
148,May-12,0.48
149,Jun-12,0.5
150,Jul-12,0.5116666666666667
151,Aug-12,0.5233333333333333
152,Sep-12,0.5349999999999999
153,Oct-12,0.5466666666666666
154,Nov-12,0.5583333333333333
155,Dec-12,0.57
156,Jan-13,0.45
157,Feb-13,0.48
158,Mar-13,0.49
159,Apr-13,0.57
160,May-13,0.74
161,Jun-13,0.77
162,Jul-13,0.57
163,Aug-13,0.59
164,Sep-13,0.65
165,Oct-13,0.73
166,Nov-13,0.83
167,Dec-13,0.78
168,Jan-14,0.55
169,Feb-14,0.6
170,Mar-14,0.59
171,Apr-14,0.59
172,May-14,0.59
173,Jun-14,0.6
174,Jul-14,0.57
175,Aug-14,0.55
176,Sep-14,0.55
177,Oct-14,0.53
178,Nov-14,0.54
179,Dec-14,0.47
180,Jan-15,0.43
181,Feb-15,0.38
182,Mar-15,0.48
183,Apr-15,0.6
184,May-15,0.65
185,Jun-15,0.66
186,Jul-15,0.48
187,Aug-15,0.52
188,Sep-15,0.51
189,Oct-15,0.55
190,Nov-15,0.61
191,Dec-15,0.525
192,Jan-16,0.44
193,Feb-16,0.39
194,Mar-16,0.39
195,Apr-16,0.59
196,May-16,0.58
197,Jun-16,0.48
198,Jul-16,0.48
199,Aug-16,0.51
200,Sep-16,0.57
201,Oct-16,0.62
202,Nov-16,0.69
203,Dec-16,0.73
204,Jan-17,0.54
205,Feb-17,0.6
206,Mar-17,0.61
207,Apr-17,0.64
208,May-17,0.69
209,Jun-17,0.65
210,Jul-17,0.52
211,Aug-17,0.56
212,Sep-17,0.6
213,Oct-17,0.6
214,Nov-17,0.59
215,Dec-17,0.53
216,Jan-18,0.47
217,Feb-18,0.43
218,Mar-18,0.4
219,Apr-18,0.48
220,May-18,0.49
221,Jun-18,0.46
222,Jul-18,0.36
223,Aug-18,0.45
224,Sep-18,0.48
225,Oct-18,0.46
226,Nov-18,0.48
227,Dec-18,0.5
228,Jan-19,0.42
229,Feb-19,0.43
230,Mar-19,0.45
231,Apr-19,0.49
232,May-19,0.5
233,Jun-19,0.48
234,Jul-19,0.56
235,Aug-19,0.46
236,Sep-19,0.43
237,Oct-19,0.44
238,Nov-19,0.53
239,Dec-19,0.64
240,Jan-20,0.72
241,Feb-20,0.57
242,Mar-20,0.53
243,Apr-20,0.5
244,May-20,0.5
245,Jun-20,0.5
