,Date-Monthly,Dar es Salaam
0,Jan-06,0.49
1,Feb-06,0.52
2,Mar-06,0.55
3,Apr-06,0.56
4,May-06,0.44
5,Jun-06,0.39
6,Jul-06,0.39
7,Aug-06,0.37
8,Sep-06,0.36
9,Oct-06,0.43
10,Nov-06,0.42
11,Dec-06,0.42
12,Jan-07,0.41
13,Feb-07,0.51
14,Mar-07,0.54
15,Apr-07,0.53
16,May-07,0.5
17,Jun-07,0.51
18,Jul-07,0.5
19,Aug-07,0.5
20,Sep-07,0.49
21,Oct-07,0.54
22,Nov-07,0.67
23,Dec-07,0.67
24,Jan-08,0.67
25,Feb-08,0.69
26,Mar-08,0.73
27,Apr-08,0.75
28,May-08,0.76
29,Jun-08,0.76
30,Jul-08,0.79
31,Aug-08,0.77
32,Sep-08,0.78
33,Oct-08,0.76
34,Nov-08,0.81
35,Dec-08,0.8
36,Jan-09,0.87
37,Feb-09,0.85
38,Mar-09,0.79
39,Apr-09,0.73
40,May-09,0.87
41,Jun-09,0.83
42,Jul-09,0.75
43,Aug-09,0.8
44,Sep-09,0.8
45,Oct-09,0.85
46,Nov-09,0.94
47,Dec-09,0.91
48,Jan-10,0.94
49,Feb-10,0.92
50,Mar-10,0.885
51,Apr-10,0.85
52,May-10,0.94
53,Jun-10,0.86
54,Jul-10,0.74
55,Aug-10,0.7
56,Sep-10,0.66
57,Oct-10,0.68
58,Nov-10,0.69
59,Dec-10,0.71
60,Jan-11,0.76
61,Feb-11,0.7
62,Mar-11,0.8
63,Apr-11,0.86
64,May-11,0.83
65,Jun-11,0.82
66,Jul-11,0.82
67,Aug-11,0.75
68,Sep-11,0.78
69,Oct-11,0.71
70,Nov-11,0.77
71,Dec-11,0.79
72,Jan-12,0.98
73,Feb-12,0.92
74,Mar-12,0.94
75,Apr-12,0.99
76,May-12,0.99
77,Jun-12,0.99
78,Jul-12,0.81
79,Aug-12,0.72
80,Sep-12,0.79
81,Oct-12,0.77
82,Nov-12,0.85
83,Dec-12,0.89
84,Jan-13,1.08
85,Feb-13,1.04
86,Mar-13,0.97
87,Apr-13,1.02
88,May-13,1.01
89,Jun-13,1.02
90,Jul-13,1.17
91,Aug-13,1.32
92,Sep-13,1.47
93,Oct-13,1.47
94,Nov-13,1.47
95,Dec-13,1.48
96,Jan-14,1.35
97,Feb-14,1.45
98,Mar-14,1.44
99,Apr-14,1.36
100,May-14,0.91
101,Jun-14,0.96
102,Jul-14,1.29
103,Aug-14,0.97
104,Sep-14,0.97
105,Oct-14,0.98
106,Nov-14,1.01
107,Dec-14,0.95
108,Jan-15,0.89
109,Feb-15,0.72
110,Mar-15,0.94
111,Apr-15,1.16
112,May-15,1.04
113,Jun-15,0.99
114,Jul-15,0.98
115,Aug-15,0.95
116,Sep-15,0.93
117,Oct-15,0.93
118,Nov-15,0.93
119,Dec-15,1.02
120,Jan-16,0.96
121,Feb-16,0.94
122,Mar-16,0.97
123,Apr-16,0.97
124,May-16,0.83
125,Jun-16,0.78
126,Jul-16,0.83
127,Aug-16,0.83
128,Sep-16,0.83
129,Oct-16,0.83
130,Nov-16,0.83
131,Dec-16,0.87
132,Jan-17,0.81
133,Feb-17,0.8
134,Mar-17,0.83
135,Apr-17,0.82
136,May-17,0.89
137,Jun-17,0.71
138,Jul-17,0.77
139,Aug-17,0.77
140,Sep-17,0.8
141,Oct-17,0.87
142,Nov-17,0.87
143,Dec-17,0.85
144,Jan-18,0.79
145,Feb-18,0.68
146,Mar-18,0.67
147,Apr-18,0.66
148,May-18,0.76
149,Jun-18,0.69
150,Jul-18,0.66
151,Aug-18,0.67
152,Sep-18,0.66
153,Oct-18,0.66
154,Nov-18,0.66
155,Dec-18,0.66
156,Jan-19,0.66
157,Feb-19,0.65
158,Mar-19,0.6
159,Apr-19,0.65
160,May-19,0.7
161,Jun-19,0.69
162,Jul-19,0.695
163,Aug-19,0.7
164,Sep-19,0.74
165,Oct-19,0.74
166,Nov-19,0.86
167,Dec-19,0.87
168,Jan-20,0.87
169,Feb-20,0.87
170,Mar-20,0.87
171,Apr-20,0.86
172,May-20,0.86
