,Date-Monthly,Kampala
0,Jan-08,0.58
1,Feb-08,0.59
2,Mar-08,0.64
3,Apr-08,0.71
4,May-08,0.74
5,Jun-08,0.72
6,Jul-08,0.65
7,Aug-08,0.75
8,Sep-08,0.83
9,Oct-08,0.64
10,Nov-08,0.5
11,Dec-08,0.55
12,Jan-09,0.55
13,Feb-09,0.56
14,Mar-09,0.56
15,Apr-09,0.55
16,May-09,0.54
17,Jun-09,0.54
18,Jul-09,0.53
19,Aug-09,0.56
20,Sep-09,0.71
21,Oct-09,0.73
22,Nov-09,0.74
23,Dec-09,0.61
24,Jan-10,0.55
25,Feb-10,0.5
26,Mar-10,0.56
27,Apr-10,0.57
28,May-10,0.58
29,Jun-10,0.41
30,Jul-10,0.43
31,Aug-10,0.58
32,Sep-10,0.65
33,Oct-10,0.58
34,Nov-10,0.56
35,Dec-10,0.57
36,Jan-11,0.55
37,Feb-11,0.58
38,Mar-11,0.68
39,Apr-11,0.76
40,May-11,0.82
41,Jun-11,0.82
42,Jul-11,0.78
43,Aug-11,0.76
44,Sep-11,0.59
45,Oct-11,0.59
46,Nov-11,0.62
47,Dec-11,0.55
48,Jan-12,0.61
49,Feb-12,0.65
50,Mar-12,0.67
51,Apr-12,0.89
52,May-12,1.08
53,Jun-12,0.72
54,Jul-12,0.58
55,Aug-12,0.63
56,Sep-12,0.71
57,Oct-12,0.6
58,Nov-12,0.53
59,Dec-12,0.54
60,Jan-13,0.62
61,Feb-13,0.62
62,Mar-13,0.66
63,Apr-13,0.73
64,May-13,0.69
65,Jun-13,0.56
66,Jul-13,0.63
67,Aug-13,0.72
68,Sep-13,0.88
69,Oct-13,0.75
70,Nov-13,0.57
71,Dec-13,0.59
72,Jan-14,0.73
73,Feb-14,0.69
74,Mar-14,0.81
75,Apr-14,0.82
76,May-14,0.76
77,Jun-14,0.55
78,Jul-14,0.52
79,Aug-14,0.65
80,Sep-14,0.57
81,Oct-14,0.53
82,Nov-14,0.44
83,Dec-14,0.52
84,Jan-15,0.53
85,Feb-15,0.6
86,Mar-15,0.73
87,Apr-15,0.95
88,May-15,1.13
89,Jun-15,0.57
90,Jul-15,0.54
91,Aug-15,0.55
92,Sep-15,0.61
93,Oct-15,0.61
94,Nov-15,0.58
95,Dec-15,0.66
96,Jan-16,0.67
97,Feb-16,0.69
98,Mar-16,0.76
99,Apr-16,0.69
100,May-16,0.75
101,Jun-16,0.62
102,Jul-16,0.63
103,Aug-16,0.69
104,Sep-16,0.77
105,Oct-16,0.7
106,Nov-16,0.59
107,Dec-16,0.71
108,Jan-17,0.74
109,Feb-17,0.79
110,Mar-17,0.83
111,Apr-17,0.94
112,May-17,0.82
113,Jun-17,0.58
114,Jul-17,0.65
115,Aug-17,0.67
116,Sep-17,0.71
117,Oct-17,0.63
118,Nov-17,0.51
119,Dec-17,0.53
120,Jan-18,0.56
121,Feb-18,0.49
122,Mar-18,0.49
123,Apr-18,0.52
124,May-18,0.45
125,Jun-18,0.36
126,Jul-18,0.38
127,Aug-18,0.41
128,Sep-18,0.47
129,Oct-18,0.45
130,Nov-18,0.37
131,Dec-18,0.41
132,Jan-19,0.48
133,Feb-19,0.54
134,Mar-19,0.55
135,Apr-19,0.64
136,May-19,0.7
137,Jun-19,0.67
138,Jul-19,0.685
139,Aug-19,0.7
140,Sep-19,0.79
141,Oct-19,0.76
142,Nov-19,0.68
143,Dec-19,0.57
144,Jan-20,0.72
145,Feb-20,0.84
146,Mar-20,0.87
147,Apr-20,0.92
148,May-20,0.85
