Country Name,Series Name,Time,Value
Tanzania,"Population, female",2000,16838008
Tanzania,"Population, female",2001,17283167
Tanzania,"Population, female",2002,17758830
Tanzania,"Population, female",2003,18260494
Tanzania,"Population, female",2004,18780109
Tanzania,"Population, female",2011,22887230
Tanzania,"Population, female",2012,23575405
Tanzania,"Population, female",2013,24289804
Tanzania,"Population, female",2014,25027582
Tanzania,"Population, female",2015,25786497
Tanzania,"Population, female",2016,26566306
Tanzania,"Population, female",2017,27367208
Tanzania,"Population, female",2018,28187903
Tanzania,"Population, female",2019,29024841
Tanzania,"Population, male",2000,16661172
Tanzania,"Population, male",2001,17102689
Tanzania,"Population, male",2002,17575958
Tanzania,"Population, male",2003,18077288
Tanzania,"Population, male",2004,18599658
Tanzania,"Population, male",2011,22786108
Tanzania,"Population, male",2012,23477076
Tanzania,"Population, male",2013,24192462
Tanzania,"Population, male",2014,24932240
Tanzania,"Population, male",2015,25696136
Tanzania,"Population, male",2016,26484484
Tanzania,"Population, male",2017,27296698
Tanzania,"Population, male",2018,28130445
Tanzania,"Population, male",2019,28980622
Tanzania,"Population, total",2000,33499180
Tanzania,"Population, total",2001,34385856
Tanzania,"Population, total",2002,35334788
Tanzania,"Population, total",2003,36337782
Tanzania,"Population, total",2004,37379767
Tanzania,"Population, total",2011,45673338
Tanzania,"Population, total",2012,47052481
Tanzania,"Population, total",2013,48482266
Tanzania,"Population, total",2014,49959822
Tanzania,"Population, total",2015,51482633
Tanzania,"Population, total",2016,53050790
Tanzania,"Population, total",2017,54663906
Tanzania,"Population, total",2018,56318348
Tanzania,"Population, total",2019,58005463
Tanzania,Population in largest city,2000,2272483
Tanzania,Population in largest city,2001,2372882
Tanzania,Population in largest city,2002,2477865
Tanzania,Population in largest city,2003,2617331
Tanzania,Population in largest city,2004,2767907
Tanzania,Population in largest city,2011,4091984
Tanzania,Population in largest city,2012,4327397
Tanzania,Population in largest city,2013,4575650
Tanzania,Population in largest city,2014,4838145
Tanzania,Population in largest city,2015,5115698
Tanzania,Population in largest city,2016,5409174
Tanzania,Population in largest city,2017,5719486
Tanzania,Population in largest city,2018,6047600
Tanzania,Population in largest city,2019,6368272
Tanzania,"Population ages 65 and above, total",2000,867259
Tanzania,"Population ages 65 and above, total",2001,892144
Tanzania,"Population ages 65 and above, total",2002,915162
Tanzania,"Population ages 65 and above, total",2003,936494
Tanzania,"Population ages 65 and above, total",2004,956418
Tanzania,"Population ages 65 and above, total",2011,1140892
Tanzania,"Population ages 65 and above, total",2012,1182885
Tanzania,"Population ages 65 and above, total",2013,1225309
Tanzania,"Population ages 65 and above, total",2014,1266727
Tanzania,"Population ages 65 and above, total",2015,1306567
Tanzania,"Population ages 65 and above, total",2016,1360068
Tanzania,"Population ages 65 and above, total",2017,1412330
Tanzania,"Population ages 65 and above, total",2018,1465009
Tanzania,"Population ages 65 and above, total",2019,1520057
Tanzania,"Population ages 65 and above, female",2000,500611
Tanzania,"Population ages 65 and above, female",2001,515991
Tanzania,"Population ages 65 and above, female",2002,530736
Tanzania,"Population ages 65 and above, female",2003,544955
Tanzania,"Population ages 65 and above, female",2004,558800
Tanzania,"Population ages 65 and above, female",2011,670466
Tanzania,"Population ages 65 and above, female",2012,694276
Tanzania,"Population ages 65 and above, female",2013,718618
Tanzania,"Population ages 65 and above, female",2014,742524
Tanzania,"Population ages 65 and above, female",2015,765564
Tanzania,"Population ages 65 and above, female",2016,793897
Tanzania,"Population ages 65 and above, female",2017,821321
Tanzania,"Population ages 65 and above, female",2018,848867
Tanzania,"Population ages 65 and above, female",2019,877763
Tanzania,"Population ages 15-64, female",2000,8903724
Tanzania,"Population ages 15-64, female",2001,9143260
Tanzania,"Population ages 15-64, female",2002,9392914
Tanzania,"Population ages 15-64, female",2003,9653219
Tanzania,"Population ages 15-64, female",2004,9925887
Tanzania,"Population ages 15-64, female",2011,12069429
Tanzania,"Population ages 15-64, female",2012,12432012
Tanzania,"Population ages 15-64, female",2013,12813793
Tanzania,"Population ages 15-64, female",2014,13217523
Tanzania,"Population ages 15-64, female",2015,13644845
Tanzania,"Population ages 15-64, female",2016,14096454
Tanzania,"Population ages 15-64, female",2017,14567892
Tanzania,"Population ages 15-64, female",2018,15060651
Tanzania,"Population ages 15-64, female",2019,15574741
Tanzania,"Population ages 15-64, male",2000,8731304
Tanzania,"Population ages 15-64, male",2001,8972176
Tanzania,"Population ages 15-64, male",2002,9223039
Tanzania,"Population ages 15-64, male",2003,9485562
Tanzania,"Population ages 15-64, male",2004,9762892
Tanzania,"Population ages 15-64, male",2011,11962222
Tanzania,"Population ages 15-64, male",2012,12321596
Tanzania,"Population ages 15-64, male",2013,12699864
Tanzania,"Population ages 15-64, male",2014,13101008
Tanzania,"Population ages 15-64, male",2015,13527666
Tanzania,"Population ages 15-64, male",2016,13982654
Tanzania,"Population ages 15-64, male",2017,14458588
Tanzania,"Population ages 15-64, male",2018,14957293
Tanzania,"Population ages 15-64, male",2019,15478862
Tanzania,"Population ages 15-64, total",2000,17635023
Tanzania,"Population ages 15-64, total",2001,18115427
Tanzania,"Population ages 15-64, total",2002,18615940
Tanzania,"Population ages 15-64, total",2003,19138763
Tanzania,"Population ages 15-64, total",2004,19688764
Tanzania,"Population ages 15-64, total",2011,24031656
Tanzania,"Population ages 15-64, total",2012,24753607
Tanzania,"Population ages 15-64, total",2013,25513655
Tanzania,"Population ages 15-64, total",2014,26318530
Tanzania,"Population ages 15-64, total",2015,27172511
Tanzania,"Population ages 15-64, total",2016,28079106
Tanzania,"Population ages 15-64, total",2017,29026474
Tanzania,"Population ages 15-64, total",2018,30017940
Tanzania,"Population ages 15-64, total",2019,31053603
,,,
,,,
,,,
Data from database: World Development Indicators,,,
Last Updated: 07/01/2020,,,
